"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","species","below_species","below_below_species","below_below_below_species","subspecies","below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783270","2","below_superkingdom","FCB group","1","131567","2","1783270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1802340","2","below_superkingdom","Nitrospinae/Tectomicrobia group","1","131567","2","1802340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783257","2","below_superkingdom","PVC group","1","131567","2","1783257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783272","2","below_superkingdom","Terrabacteria group","1","131567","2","1783272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783234","2323","below_below_superkingdom","Bacteria candidate phyla","1","131567","2","2323","1783234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68336","1783270","below_below_superkingdom","Bacteroidetes/Chlorobi group","1","131567","2","1783270","68336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798711","1783272","below_below_superkingdom","Cyanobacteria/Melainabacteria group","1","131567","2","1783272","1798711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49928","2323","below_below_superkingdom","unclassified Bacteria (miscellaneous)","1","131567","2","2323","49928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1859062","1783272","below_below_superkingdom","unclassified Terrabacteria group","1","131567","2","1783272","1859062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95901","1783234","below_below_below_superkingdom","Candidatus Dependentiae","1","131567","2","2323","1783234","95901","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783273","1783234","below_below_below_superkingdom","Patescibacteria group","1","131567","2","2323","1783234","1783273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"271174","68336","below_below_below_superkingdom","unclassified Bacteroidetes/Chlorobi group","1","131567","2","1783270","68336","271174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794811","1783273","below_below_below_below_superkingdom","Parcubacteria group","1","131567","2","2323","1783234","1783273","1794811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1104668","95901","below_below_below_below_superkingdom","unclassified Candidatus Dependentiae","1","131567","2","2323","1783234","95901","1104668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794840","1794811","below_below_below_below_below_superkingdom","unclassified Parcubacteria group","1","131567","2","2323","1783234","1783273","1794811","1794840","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57723","2","phylum","Acidobacteria","1","131567","2","","","","","","57723","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","2","1783272","","","","","201174","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200783","2","phylum","Aquificae","1","131567","2","","","","","","200783","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67819","1783272","phylum","Armatimonadetes","1","131567","2","1783272","","","","","67819","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","1783270","68336","","","","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67814","2","phylum","Caldiserica","1","131567","2","","","","","","67814","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67810","1783234","phylum","Candidatus Acetothermia","1","131567","2","2323","1783234","","","","67810","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"456828","1783270","phylum","Candidatus Cloacimonetes","1","131567","2","1783270","","","","","456828","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752728","1794811","phylum","Candidatus Falkowbacteria","1","131567","2","2323","1783234","1783273","1794811","","1752728","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74015","1783270","phylum","Candidatus Latescibacteria","1","131567","2","1783270","","","","","74015","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62680","1783270","phylum","Candidatus Marinimicrobia","1","131567","2","1783270","","","","","62680","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752737","1794811","phylum","Candidatus Moranbacteria","1","131567","2","2323","1783234","1783273","1794811","","1752737","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67812","1783257","phylum","Candidatus Omnitrophica","1","131567","2","1783257","","","","","67812","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1619053","1783234","phylum","Candidatus Peregrinibacteria","1","131567","2","2323","1783234","","","","1619053","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"265317","1783234","phylum","Candidatus Poribacteria","1","131567","2","2323","1783234","","","","265317","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95818","1783234","phylum","Candidatus Saccharibacteria","1","131567","2","2323","1783234","","","","95818","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204428","1783257","phylum","Chlamydiae","1","131567","2","1783257","","","","","204428","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1090","68336","phylum","Chlorobi","1","131567","2","1783270","68336","","","","1090","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200795","1783272","phylum","Chloroflexi","1","131567","2","1783272","","","","","200795","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117","1798711","phylum","Cyanobacteria","1","131567","2","1783272","1798711","","","","1117","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200930","2","phylum","Deferribacteres","1","131567","2","","","","","","200930","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1297","1783272","phylum","Deinococcus-Thermus","1","131567","2","1783272","","","","","1297","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68297","2","phylum","Dictyoglomi","1","131567","2","","","","","","68297","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74152","2","phylum","Elusimicrobia","1","131567","2","","","","","","74152","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65842","1783270","phylum","Fibrobacteres","1","131567","2","1783270","","","","","65842","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1239","1783272","phylum","Firmicutes","1","131567","2","1783272","","","","","1239","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","","","","32066","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142182","1783270","phylum","Gemmatimonadetes","1","131567","2","1783270","","","","","142182","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1134404","68336","phylum","Ignavibacteriae","1","131567","2","1783270","68336","","","","1134404","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1293497","1802340","phylum","Nitrospinae","1","131567","2","1802340","","","","","1293497","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40117","2","phylum","Nitrospirae","1","131567","2","","","","","","40117","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203682","1783257","phylum","Planctomycetes","1","131567","2","1783257","","","","","203682","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","","","","1224","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1853220","2","phylum","Rhodothermaeota","1","131567","2","","","","","","1853220","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203691","2","phylum","Spirochaetes","1","131567","2","","","","","","203691","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"508458","2","phylum","Synergistetes","1","131567","2","","","","","","508458","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"544448","1783272","phylum","Tenericutes","1","131567","2","1783272","","","","","544448","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200940","2","phylum","Thermodesulfobacteria","1","131567","2","","","","","","200940","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
