tax_id,seqname
592010,Abiotrophia_defectiva_ATCC_49176|5920104
1120917,Acaricomes_phytoseiuli_DSM_14247|11209173
329726,Acaryochloris_marina_MBIC11017|32972614
310037,Acaryochloris_sp_CCMEE_5410|3100374
509191,Acetivibrio_cellulolyticus_CD2|5091914
290052,Acetivibrio_ethanolgignens_strain_ACET-33324|2900523
663932,Acetobacter_aceti_ATCC_23746|6639323
1633874,Acetobacter_sp_SLV-7|16338743
1054213,Acetobacteraceae_bacterium_AT-5844|10542133
574087,Acetohalobium_arabaticum_DSM_5501|5740873
1009370,Acetonema_longum_DSM_6540|10093703
1635286,Acetothermia_bacterium_64_32|16352864
61635,Acholeplasma_brassicae_strain_0502|616356
1408417,Acholeplasma_modicum_ATCC_29102|14084173
1318466,Acholeplasma_palmae_J233|13184663
1671633,Acholeplasmatales_bacterium_DTU056|16716333
1671634,Acholeplasmatales_bacterium_DTU067|16716343
477184,Achromobacter_arsenitoxydans_SY8|4771845
1736564,Achromobacter_sp_Root565|17365643
85698,Achromobacter_xylosoxidans_strain_CEIB_28|8569847
591001,Acidaminococcus_fermentans_DSM_20731|5910013
568816,Acidaminococcus_intestini_RyC-MR95|5688164
1111120,Acidaminococcus_sp_BV3L6|11111203
1765683,Acidibacillus_ferrooxidans_strain_ITV001|17656833
1765683,Acidibacillus_ferrooxidans_strain_SLC66|17656835
163359,Acidiferrobacter_thiooxydans_strain_ZJ|16335911
1736654,Acidimicrobiaceae_bacterium_RAAP-2|17366543
1737893,Acidimicrobiaceae_bacterium_RAAP-3|17378933
1655586,Acidimicrobiia_bacterium_BACL6_MAG-120910-bin40|16555863
1811597,Acidimicrobiia_bacterium_REDSEA-S09_B7|18115973
525909,Acidimicrobium_ferrooxidans_DSM_10331|52590911
1408418,Acidiphilium_angustum_ATCC_35903|14084183
349163,Acidiphilium_cryptum_JF-5|34916314
926570,Acidiphilium_multivorum_AIU301|9265703
1231350,Acidisphaera_rubrifaciens_HS-AP3|12313503
990288,Acidithiobacillus_caldus_SM-1|9902888
243159,Acidithiobacillus_ferrooxidans_ATCC_23270|2431594
1280514,Acidithrix_ferrooxidans_strain_Py-F3|12805143
1813736,Acidobacteria_bacterium_DSM_100886|18137363
1752182,Acidobacteria_bacterium_Ga0074141|17521823
639030,Acidobacteria_bacterium_KBS_146|6390303
1267535,Acidobacteriaceae_bacterium_KBS_96|12675353
1577686,Acidobacteriaceae_bacterium_S15|15776863
